scuba-control-id,nist-800-53-control-id
GWS.CALENDAR.1.1v1,"AC-3, SC-7(10)(a)"
GWS.CALENDAR.1.2v1,"AC-3, SC-7(10)(a)"
GWS.CALENDAR.2.1v1,AT-2b
GWS.CALENDAR.3.1v1,CM-7
GWS.CALENDAR.3.2v1,"IA-2(1), IA-2(2)"
GWS.CALENDAR.4.1v1,CM-7
GWS.CHAT.1.1v1,"AU-2, SC-7(10)"
GWS.CHAT.1.2v1,AU-9
GWS.CHAT.2.1v1,"AC-3, SC-7(10)"
GWS.CHAT.3.1v1,"AU-2, SC-7(10)"
GWS.CHAT.4.1v1,AC-3
GWS.CHAT.5.1v1,IR-6
GWS.CHAT.5.2v1,IR-6
GWS.CLASSROOM.1.1v1,AC-3
GWS.CLASSROOM.1.2v1,SC-7(10)
GWS.CLASSROOM.2.1v1,AC-6(10)
GWS.CLASSROOM.3.1v1,CM-7
GWS.CLASSROOM.4.1v1,AC-6(10)
GWS.CLASSROOM.5.1v1,"AC-6(5), AC-6(10)"
GWS.COMMONCONTROLS.1.1v1,"IA-2(1), IA-2(2), IA-5c, IA-5g, IA-2(8)"
GWS.COMMONCONTROLS.1.2v1,"IA-2(1), IA-2(2)"
GWS.COMMONCONTROLS.1.3v1,"CM-7b, IA-5c"
GWS.COMMONCONTROLS.1.4v1,"IA-2(1), IA-2(2)"
GWS.COMMONCONTROLS.1.5v1,"IA-2(1), IA-2(2)"
GWS.COMMONCONTROLS.2.1v1,IA-3
GWS.COMMONCONTROLS.3.1v1,"IA-2(1), IA-2(2)"
GWS.COMMONCONTROLS.4.1v1,IA-11
GWS.COMMONCONTROLS.5.1v1,IA-5(1)
GWS.COMMONCONTROLS.5.2v1,IA-5(1)
GWS.COMMONCONTROLS.5.3v1,IA-5(1)
GWS.COMMONCONTROLS.5.4v1,IA-5(1)
GWS.COMMONCONTROLS.5.5v1,IA-5(1)
GWS.COMMONCONTROLS.5.6v1,IA-5(1)
GWS.COMMONCONTROLS.6.1v1,AC-6(5)
GWS.COMMONCONTROLS.6.2v1,AC-6(5)
GWS.COMMONCONTROLS.7.1v1,IA-2
GWS.COMMONCONTROLS.8.1v1,"IA-5d, IA-5g"
GWS.COMMONCONTROLS.8.2v1,"IA-5d, IA-5g"
GWS.COMMONCONTROLS.8.3v1,SC-7(10)
GWS.COMMONCONTROLS.9.1v1,"IA-2(1), IA-2(2), IA-5c, IA-5d, IA-5g, SI-3, SI-8"
GWS.COMMONCONTROLS.9.2v1,"IA-2(1), IA-2(2), IA-5c, IA-5d, IA-5g, SI-3, SI-8"
GWS.COMMONCONTROLS.10.1v1,SI-3
GWS.COMMONCONTROLS.10.2v1,AC-6
GWS.COMMONCONTROLS.10.3v1,SI-3
GWS.COMMONCONTROLS.10.4v1,SI-3
GWS.COMMONCONTROLS.10.5v1,"IA-2(1), IA-2(2)"
GWS.COMMONCONTROLS.11.1v1,CM-7
GWS.COMMONCONTROLS.12.1v1,"CM-7, SC-7(10)"
GWS.COMMONCONTROLS.13.1v1,SI-4(5)
GWS.COMMONCONTROLS.14.1v1,SI-4(5)
GWS.COMMONCONTROLS.14.2v1,AU-11
GWS.COMMONCONTROLS.15.1v1,SC-7(10)
GWS.COMMONCONTROLS.15.2v1,SC-7(10)
GWS.COMMONCONTROLS.16.1v1,CM-7
GWS.COMMONCONTROLS.16.2v1,CM-7
GWS.COMMONCONTROLS.17.1v1,AC-5
GWS.COMMONCONTROLS.18.1v1,SC-7(10)
GWS.COMMONCONTROLS.18.2v1,SC-7(10)
GWS.COMMONCONTROLS.18.3v1,SC-7(10)
GWS.COMMONCONTROLS.18.4v1,"AC-3, SC-7(10)"
GWS.DRIVEDOCS.1.1v1,"AC-3, SC-7(10)"
GWS.DRIVEDOCS.1.2v1,"SI-3, SI-8"
GWS.DRIVEDOCS.1.3v1,AT-2b
GWS.DRIVEDOCS.1.4v1,"IA-8, SC-7(10)"
GWS.DRIVEDOCS.1.5v1,IA-8
GWS.DRIVEDOCS.1.6v1,"AC-3, IA-8, SC-7(10)"
GWS.DRIVEDOCS.1.7v1,SC-7(10)
GWS.DRIVEDOCS.1.8v1,AC-6
GWS.DRIVEDOCS.2.1v1,AC-6
GWS.DRIVEDOCS.2.2v1,"AC-3, SC-7(10)"
GWS.DRIVEDOCS.2.3v1,AC-3
GWS.DRIVEDOCS.2.4v1,AC-6
GWS.DRIVEDOCS.3.1v1,AC-3
GWS.DRIVEDOCS.4.1v1,CM-7
GWS.DRIVEDOCS.5.1v1,CM-7
GWS.DRIVEDOCS.6.1v1,CM-7
GWS.GEMINI.1.1v1,SC-7(10)(a)
GWS.GEMINI.2.1v1,SC-7(10)(a)
GWS.GMAIL.1.1v1,"IA-2, SC-7(10)"
GWS.GMAIL.2.1v1,SC-8
GWS.GMAIL.3.1v1,AC-2d
GWS.GMAIL.4.1v1,SI-8
GWS.GMAIL.4.2v1,SI-8
GWS.GMAIL.4.3v1,SI-4(5)
GWS.GMAIL.4.4v1,SI-4(5)
GWS.GMAIL.5.1v1,"SI-3, SI-8"
GWS.GMAIL.5.2v1,"SI-3, SI-8"
GWS.GMAIL.5.3v1,"SI-3, SI-8"
GWS.GMAIL.5.4v1,"SI-3, SI-8"
GWS.GMAIL.5.5v1,"SI-3, SI-8"
GWS.GMAIL.5.6v1,"SI-3, SI-8"
GWS.GMAIL.6.1v1,"SI-3, SI-8"
GWS.GMAIL.6.2v1,"SI-3, SI-8"
GWS.GMAIL.6.3v1,"SI-4, SI-8, AT-2b"
GWS.GMAIL.6.4v1,"SI-3, SI-8"
GWS.GMAIL.6.5v1,"SI-3, SI-8"
GWS.GMAIL.7.1v1,SI-8
GWS.GMAIL.7.2v1,SI-8
GWS.GMAIL.7.3v1,SI-8
GWS.GMAIL.7.4v1,SI-8
GWS.GMAIL.7.5v1,SI-8
GWS.GMAIL.7.6v1,SI-8
GWS.GMAIL.7.7v1,SI-8
GWS.GMAIL.7.8v1,SI-8
GWS.GMAIL.8.1v1,"CM-7, SI-3, SI-8"
GWS.GMAIL.9.1v1,CM-7
GWS.GMAIL.10.1v1,CM-7
GWS.GMAIL.11.1v1,AC-4
GWS.GMAIL.12.1v1,AC-4
GWS.GMAIL.13.1v1,AT-2b
GWS.GMAIL.14.1v1,AC-4
GWS.GMAIL.15.1v1,"SI-3, SI-8"
GWS.GMAIL.15.2v1,"SI-3, SI-8"
GWS.GMAIL.16.1v1,"SI-3, SI-8"
GWS.GMAIL.16.2v1,"SI-3, SI-8"
GWS.GMAIL.17.1v1,"SI-12, SC-7(10)"
GWS.GMAIL.18.1v1,SI-8
GWS.GMAIL.18.2v1,SI-8
GWS.GMAIL.18.3v1,SI-8
GWS.GROUPS.1.1v1,AC-3
GWS.GROUPS.1.2v1,"CM-7, AC-6(10)"
GWS.GROUPS.1.3v1,"CM-7, AC-6(10)"
GWS.GROUPS.2.1v1,AC-6(10)
GWS.GROUPS.3.1v1,AC-6
GWS.GROUPS.4.1v1,CM-7
GWS.MEET.1.1v1,"IA-2, IA-8"
GWS.MEET.2.1v1,"IA-8, SC-7(10)"
GWS.MEET.3.1v1,CM-7
GWS.MEET.4.1v1,SC-15
GWS.MEET.5.1v1,"SI-8, SC-15a"
GWS.MEET.6.1v1,CM-7
GWS.MEET.6.2v1,CM-7
GWS.SITES.1.1v1,CM-7
